What ISPs exist in the Caribbean ?,technology and computing
What weapon is the mythological character Apollo most proficient with ?,art and entertainment
What country do the Galapagos Islands belong to ?,art and entertainment
What is ethology ?,science
Who was the prophet of the Muslim people ?,religion and spirituality
Where did the term  86ed  come from ?,finance
Who is Snoopy s arch-enemy ?,art and entertainment
What is the nature of learning ?,education
What s the only color Johnny Cash wears on stage ?,art and entertainment
What s the term for a young fox ?,finance
What U.S. state lived under six flags ?,family and parenting
What is the Kashmir issue ?,"law, govt and politics"
What does  extended definition  mean and how would one write a paper on it ?,science
What country s capital is Tirana ?,travel
Who do Herb and Tootsie live next door to ?,food and drink
Why do people get calluses ?,style and fashion
What are the names of the tourist attractions in Reims ?,travel
What are Cushman and Wakefield known for ?,automotive and vehicles
What body of water does the Danube River flow into ?,science
Who is the founder of Scientology ?,religion and spirituality
What does the six-footed Musca domestica become when it enters a house ?,home and garden
