Who starred in Singing in the Rain and The Singing Nun ?,art and entertainment
What 19th-century painter died in the Marquesas Islands ?,art and entertainment
The corpus callosum is in what part of the body ?,health and fitness
How do I log on to home page at Headquarters U.S. European Command ?,"law, govt and politics"
What country did the Nazis occupy for 1 ,society
What is the origin of head lice ?,art and entertainment
What is the nickname for the state of Mississippi ?,education
What was the first domesticated bird ?,pets
How many villi are found in the small intestine ?,health and fitness
What country did King Wenceslas rule ?,art and entertainment
What is a fear of shadows ?,health and fitness
Who were the five Marx brothers ?,art and entertainment
In which year was New Zealand excluded from the ANZUS alliance ?,travel
When did CNN begin broadcasting ?,news
What causes the body to shiver in cold temperatures ?,science
What are bear and bull markets ?,finance
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,art and entertainment
What is  dew point  ?,science
What is the meaning of Jesus ?,religion and spirituality
What company s logo is a  W  in a circle ?,home and garden
What is the definition of a cascade ?,"law, govt and politics"
