Who earns their money the hard way ?,business and industrial
Who founded the People s Temple Commune ?,travel
What athlete makes the most money from sports merchandise sales ?,sports
How many bends are there in a standard paper clip ?,business and industrial
Who discovered electricity ?,business and industrial
What part of your body contains the corpus callosum ?,health and fitness
Who was the first American in space ?,business and industrial
What two South American countries do nt border Brazil ?,travel
What album put The Beatles on the cover of Time in 1967 ?,art and entertainment
What poem contains the line ,art and entertainment
What is a dental root canal ?,health and fitness
What war did the Wanna-Go-Home Riots occur after ?,society
What is the busiest air travel season ?,travel
What s the colored part of the eye called ?,science
What are hook worms ?,pets
Where is the Rose Bowl played ?,home and garden
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,automotive and vehicles
Who is the mayor of Marbella ?,real estate
In what year did Thatcher become prime minister ?,"law, govt and politics"
How many months does it take the moon to revolve around the Earth ?,business and industrial
In what year was De Gaulle elected president of France ?,travel
