What s the Olympic motto ?,science
What is the origin of the name ` Scarlett  ?,art and entertainment
What s the second-most-used vowel in English ?,art and entertainment
Who was the inventor of silly putty ?,shopping
What is the highest waterfall in the United States ?,travel
Name a golf course in Myrtle Beach .,sports
Which two states enclose Chesapeake Bay ?,sports
What does the abbreviation AIDS stand for ?,health and fitness
How many points make up a perfect fivepin bowling score ?,sports
How many Community Chest cards are there in Monopoly ?,shopping
What do Mormons believe ?,religion and spirituality
When did the neanderthal man live ?,travel
In what religion was Isis the nature goddess ?,religion and spirituality
Where do the adventures of  The Swiss Family Robinson  take place ?,art and entertainment
What relative of the racoon is sometimes known as the cat-bear ?,pets
How can I register my website in Yahoo for free ?,education
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,"law, govt and politics"
How many people in the world speak French ?,travel
How many inches over six feet is the Venus de Milo ?,art and entertainment
How do they find or choose witnesses to an execution ?,society
What 1920s cowboy star rode Tony the Wonder Horse ?,style and fashion
